customer_id,country,city,customer_type,gender,senior_citizen,partner,dependents,tenure_months,contract,monthly_charge,total_charges,cltv,complaint_count,payment_delay_days,roaming_usage,app_logins,network_quality_score,avg_monthly_data_usage_gb,customer_health_score,risk_segment,churn_label,customer_value_segment,cltv_segment
8305-VHZBZ,UAE,Abu Dhabi,Individual,Male,No,No,No,1,Month-to-month,20.2,20.2,4325.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
4897-QSUYC,Saudi Arabia,Dammam,Individual,Female,No,No,No,1,Month-to-month,20.15,20.15,4939.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
5766-ZJYBB,UAE,Sharjah,Individual,Male,No,No,No,1,Month-to-month,19.4,19.4,4152.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Medium Value,Medium CLTV
4588-YBNIB,Oman,Muscat,Individual,Female,No,No,No,1,Month-to-month,19.6,19.6,4205.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
6849-WLEYG,UAE,Sharjah,Individual,Male,No,No,Yes,1,Month-to-month,19.75,19.75,2611.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
5624-BQSSA,Saudi Arabia,Dammam,Individual,Female,No,No,No,1,Month-to-month,20.95,20.95,4285.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Medium Value,Medium CLTV
2002-MZHWP,UAE,Sharjah,Individual,Female,No,No,No,1,Month-to-month,20.5,20.5,3820.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
4892-VLANZ,Oman,Sohar,Individual,Male,No,No,No,1,Month-to-month,19.8,19.8,5600.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
3148-BLQJT,Oman,Salalah,Individual,Male,No,No,No,1,Month-to-month,20.1,20.1,5747.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
0426-TIRNE,UAE,Sharjah,Individual,Female,No,No,No,1,Month-to-month,20.9,20.9,5527.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
1240-KNSEZ,UAE,Dubai,Individual,Male,No,No,No,1,Month-to-month,20.1,20.1,4933.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
2876-VBBBL,UAE,Abu Dhabi,Individual,Female,No,No,No,1,Month-to-month,20.25,20.25,2783.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
4877-EVATK,Oman,Sohar,Individual,Male,No,No,No,1,Month-to-month,20.0,20.0,3657.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
4211-MMAZN,Qatar,Al Wakrah,Individual,Male,No,No,No,1,Month-to-month,20.25,20.25,2959.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
6141-OOXUQ,Saudi Arabia,Dammam,Individual,Male,No,No,No,1,Month-to-month,19.65,19.65,5717.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,High Value,High CLTV
4667-OHGKG,Qatar,Doha,Individual,Male,No,No,No,1,Month-to-month,19.3,19.3,4266.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
5510-BOIUJ,Saudi Arabia,Dammam,Individual,Male,No,No,Yes,1,Month-to-month,19.25,19.25,5437.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
5049-GLYVG,UAE,Dubai,Individual,Male,No,No,No,1,Month-to-month,20.6,20.6,3618.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
6615-ZGEDR,UAE,Abu Dhabi,Individual,Male,No,No,No,1,Month-to-month,19.7,19.7,5707.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
8073-IJDCM,Saudi Arabia,Jeddah,Individual,Female,No,No,No,1,Month-to-month,20.3,20.3,3830.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Medium Value,Medium CLTV
1963-VAUKV,Bahrain,Muharraq,Individual,Female,No,No,No,1,Month-to-month,20.4,20.4,3663.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
9318-NKNFC,Saudi Arabia,Riyadh,Individual,Male,No,No,No,1,Month-to-month,18.85,18.85,4132.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
7839-QRKXN,Saudi Arabia,Jeddah,Individual,Female,No,No,No,1,Month-to-month,20.2,20.2,4197.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Medium Value,Medium CLTV
4745-LSPLO,Qatar,Al Wakrah,Individual,Male,No,No,No,1,Month-to-month,20.5,20.5,3731.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
2565-JSLRY,Oman,Salalah,Individual,Male,No,No,No,1,Month-to-month,24.05,24.05,3162.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Low Value,Low CLTV
4255-DDUOU,Saudi Arabia,Riyadh,Individual,Female,No,Yes,Yes,1,Month-to-month,20.5,20.5,2398.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
5515-IDEJJ,Oman,Salalah,Individual,Male,No,Yes,Yes,1,Month-to-month,19.9,19.9,5441.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,High Value,High CLTV
3803-KMQFW,Bahrain,Muharraq,Individual,Female,No,Yes,Yes,1,Month-to-month,20.55,20.55,3797.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
5028-HTLJB,Saudi Arabia,Dammam,Individual,Male,Yes,No,No,1,Month-to-month,20.05,20.05,3491.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
6982-UQZLY,Qatar,Al Wakrah,Individual,Female,Yes,Yes,No,1,Month-to-month,20.85,20.85,3817.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
0107-WESLM,UAE,Sharjah,Individual,Male,No,No,No,1,Month-to-month,19.85,19.85,3874.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Medium Value,Medium CLTV
7893-IXHRQ,Bahrain,Manama,Individual,Male,No,No,No,1,Month-to-month,20.55,20.55,5636.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
1349-WXNGG,UAE,Abu Dhabi,Individual,Male,No,No,No,1,Month-to-month,20.05,20.05,4710.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Medium Value,Medium CLTV
6770-XUAGN,UAE,Abu Dhabi,Individual,Female,No,Yes,No,1,Month-to-month,21.0,21.0,3753.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
0761-AETCS,UAE,Abu Dhabi,Individual,Female,No,No,No,1,Month-to-month,19.3,19.3,3236.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
9174-FKWZE,Saudi Arabia,Riyadh,Individual,Female,Yes,No,No,1,Month-to-month,19.45,19.45,3848.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
3506-LCJDC,Oman,Muscat,Individual,Male,No,Yes,Yes,1,Month-to-month,19.95,19.95,4860.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
7853-GVUDZ,Oman,Sohar,Individual,Female,No,Yes,Yes,1,Month-to-month,20.15,20.15,4277.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Medium Value,Medium CLTV
2955-PSXOE,UAE,Sharjah,Individual,Female,No,No,No,1,Month-to-month,20.2,20.2,3061.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
1493-AMTIE,Saudi Arabia,Riyadh,Individual,Male,No,No,No,1,Month-to-month,20.2,20.2,5394.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
2320-JRSDE,UAE,Abu Dhabi,Individual,Female,No,Yes,Yes,1,Month-to-month,19.9,19.9,4633.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
5143-WMWOG,Oman,Salalah,Individual,Male,No,No,No,1,Month-to-month,19.95,19.95,2051.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
9063-ZGTUY,Qatar,Al Wakrah,Individual,Female,No,Yes,No,61,Month-to-month,19.4,1182.55,4221.0,1,15,,20,9.0,5,98.0,High Risk,Yes,Medium Value,Medium CLTV
0278-YXOOG,Saudi Arabia,Dammam,Individual,Male,No,No,No,5,Month-to-month,21.05,113.85,2604.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Low Value,Low CLTV
4895-TMWIR,Oman,Sohar,Individual,Male,Yes,Yes,No,11,Month-to-month,19.95,214.75,5888.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
1218-VKFPE,Saudi Arabia,Riyadh,Individual,Female,No,Yes,No,12,Month-to-month,19.0,233.55,3535.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
0031-PVLZI,Kuwait,Kuwait City,Individual,Female,No,Yes,No,4,Month-to-month,20.35,76.35,4133.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
5687-DKDTV,Kuwait,Al Ahmadi,Individual,Female,No,No,No,4,Month-to-month,20.35,77.5,5984.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
2484-DGXPZ,Saudi Arabia,Jeddah,Individual,Female,No,Yes,No,31,Month-to-month,19.55,658.95,2687.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Low Value,Low CLTV
4946-EDSEW,UAE,Sharjah,Individual,Female,No,Yes,Yes,11,Month-to-month,19.25,180.3,5638.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,High Value,High CLTV
2332-EFBJY,Saudi Arabia,Dammam,Individual,Male,No,No,No,16,Month-to-month,19.7,342.4,3438.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
4083-EUGRJ,Oman,Muscat,Individual,Male,No,No,No,9,Month-to-month,20.25,178.5,3361.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
2839-RFSQE,Saudi Arabia,Dammam,Individual,Female,No,No,No,2,Month-to-month,20.65,38.7,3845.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
9025-ZRPVR,Oman,Sohar,Individual,Male,No,No,No,9,Month-to-month,18.95,185.6,5403.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
1087-UDSIH,Bahrain,Muharraq,Individual,Female,No,No,No,3,Month-to-month,19.6,59.75,5000.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
0137-UDEUO,UAE,Sharjah,Individual,Female,No,No,No,3,Month-to-month,19.85,63.75,3398.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
0883-EIBTI,Saudi Arabia,Jeddah,Individual,Female,No,No,No,2,Month-to-month,19.5,31.55,2484.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
1449-XQEMT,Kuwait,Al Ahmadi,Individual,Male,No,No,No,3,Month-to-month,19.8,58.15,4323.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
1383-EZRWL,Saudi Arabia,Dammam,Individual,Female,No,No,No,7,Month-to-month,20.05,164.85,5595.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
4903-UYAVB,Qatar,Al Wakrah,Individual,Male,No,Yes,No,5,Month-to-month,19.35,126.05,3864.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
6776-TLWOI,Saudi Arabia,Jeddah,Individual,Male,No,No,No,3,Month-to-month,19.85,64.55,2158.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
4195-SMMNX,UAE,Sharjah,Individual,Male,No,No,No,2,Month-to-month,20.35,33.2,5627.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,High Value,High CLTV
1009-IRMNA,Qatar,Al Wakrah,Individual,Female,No,No,No,7,Month-to-month,20.0,137.6,4479.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
4160-AMJTL,UAE,Abu Dhabi,Individual,Female,Yes,No,No,8,Month-to-month,19.65,164.3,5432.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
4541-RMRLG,Kuwait,Kuwait City,Individual,Male,No,No,No,7,Month-to-month,19.25,112.3,4489.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
2223-KAGMX,Saudi Arabia,Jeddah,Individual,Female,No,No,No,15,Month-to-month,19.4,289.3,5379.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
5577-OTWWW,Kuwait,Kuwait City,Individual,Female,No,No,No,15,Month-to-month,19.75,297.3,2428.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Low Value,Low CLTV
0268-QKIWO,Bahrain,Muharraq,Individual,Female,No,No,No,3,Month-to-month,19.75,58.85,2647.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
9986-BONCE,Saudi Arabia,Jeddah,Individual,Female,No,No,No,4,Month-to-month,20.95,85.5,5822.0,2,15,,20,8.0,5,91.0,High Risk,Yes,High Value,High CLTV
5616-PRTNT,Kuwait,Al Ahmadi,Individual,Male,No,No,Yes,20,Month-to-month,19.4,374.5,3785.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
4390-KYULV,UAE,Dubai,Individual,Male,No,Yes,No,3,Month-to-month,20.55,51.15,4115.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
4140-WJAWW,Qatar,Al Wakrah,Individual,Female,No,No,No,5,Month-to-month,19.85,108.05,3799.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
6861-OKBCE,Saudi Arabia,Riyadh,Individual,Female,No,No,Yes,11,Month-to-month,20.1,221.35,4500.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
7845-URHJN,Saudi Arabia,Riyadh,Individual,Female,No,Yes,No,8,Month-to-month,20.15,156.25,4785.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
8053-WWDRO,UAE,Dubai,Individual,Female,No,Yes,No,6,Month-to-month,19.5,146.3,5579.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,High Value,High CLTV
5688-KZTSN,Qatar,Doha,Individual,Male,No,Yes,Yes,15,Month-to-month,20.0,288.05,4672.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
7854-EKTJL,Qatar,Al Wakrah,Individual,Female,No,No,Yes,2,Month-to-month,19.6,35.85,2843.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,Low Value,Low CLTV
1577-HKTFG,Kuwait,Kuwait City,Individual,Female,No,Yes,No,30,Month-to-month,19.65,655.85,2486.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
4488-PSYCG,Oman,Sohar,Individual,Male,No,No,No,16,Month-to-month,20.25,327.45,4327.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
7083-YNSKY,UAE,Abu Dhabi,Individual,Female,No,No,No,15,Month-to-month,25.4,399.6,2853.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
8785-EPNCG,UAE,Dubai,Individual,Male,No,No,No,11,Month-to-month,23.15,245.2,5671.0,2,15,,20,8.0,5,91.0,Medium Risk,Yes,High Value,High CLTV
7812-FZHPE,Saudi Arabia,Jeddah,Individual,Female,No,Yes,Yes,17,Month-to-month,24.1,409.9,4648.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Medium Value,Medium CLTV
0568-ONFPC,UAE,Sharjah,Individual,Male,No,Yes,Yes,5,Month-to-month,25.9,135.0,2102.0,2,15,,20,8.0,5,91.0,High Risk,Yes,Low Value,Low CLTV
4765-OXPPD,UAE,Dubai,SME,Female,No,Yes,No,9,Month-to-month,65.0,663.05,3983.0,3,15,,30,7.0,60,84.0,High Risk,Yes,Medium Value,Medium CLTV
9170-GYZJC,Saudi Arabia,Riyadh,SME,Female,No,Yes,Yes,41,Month-to-month,79.9,3326.2,4734.0,3,15,,30,7.0,60,84.0,High Risk,Yes,Medium Value,Medium CLTV
8740-XLHDR,Saudi Arabia,Jeddah,Individual,Male,No,No,No,5,Month-to-month,43.25,219.0,5824.0,3,15,,30,7.0,60,84.0,Medium Risk,Yes,High Value,High CLTV
9039-RBEEE,UAE,Abu Dhabi,Individual,Male,No,No,No,39,Month-to-month,48.95,1880.85,3080.0,3,15,,30,7.0,90,84.0,High Risk,Yes,Low Value,Low CLTV
9259-PACGQ,Saudi Arabia,Riyadh,SME,Female,No,Yes,No,34,Month-to-month,62.65,2274.9,3918.0,3,15,,30,7.0,60,84.0,High Risk,Yes,Medium Value,Medium CLTV
5482-NUPNA,UAE,Sharjah,SME,Female,No,No,No,4,Month-to-month,60.4,272.15,5730.0,3,15,,30,7.0,60,84.0,High Risk,Yes,High Value,High CLTV
9851-KIELU,Saudi Arabia,Jeddah,Individual,Male,No,No,No,10,Month-to-month,110.1,1043.3,5803.0,3,15,,30,7.0,220,84.0,High Risk,Yes,High Value,High CLTV
4361-BKAXE,Oman,Salalah,Enterprise,Female,No,No,No,41,Month-to-month,114.5,4527.45,3038.0,3,15,,30,7.0,220,84.0,High Risk,Yes,Low Value,Low CLTV
9158-VCTQB,Saudi Arabia,Dammam,Enterprise,Female,No,Yes,No,41,Month-to-month,113.6,4594.95,4963.0,3,15,,30,7.0,220,84.0,High Risk,Yes,Medium Value,Medium CLTV
8840-DQLGN,Saudi Arabia,Riyadh,Enterprise,Female,Yes,Yes,No,35,Month-to-month,100.5,3653.35,4745.0,3,15,,30,7.0,150,84.0,High Risk,Yes,Medium Value,Medium CLTV
6179-GJPSO,Saudi Arabia,Riyadh,Enterprise,Female,Yes,No,No,43,Month-to-month,108.15,4600.7,2833.0,3,15,,30,7.0,220,84.0,High Risk,Yes,Low Value,Low CLTV
2506-CLAKW,Qatar,Al Wakrah,Individual,Female,No,No,No,6,Month-to-month,98.15,567.45,3578.0,3,15,,30,7.0,150,84.0,High Risk,Yes,Medium Value,Medium CLTV
0133-BMFZO,Saudi Arabia,Riyadh,SME,Female,No,No,No,2,Month-to-month,86.25,181.65,3529.0,3,15,,30,7.0,150,84.0,High Risk,Yes,Medium Value,Medium CLTV
2302-ANTDP,Kuwait,Al Ahmadi,Enterprise,Female,Yes,Yes,No,48,Month-to-month,117.45,5438.9,5915.0,3,15,,30,7.0,220,84.0,Medium Risk,Yes,High Value,High CLTV
9572-MTILT,Saudi Arabia,Riyadh,Enterprise,Male,No,Yes,No,59,Month-to-month,106.75,6252.9,4508.0,3,15,,30,7.0,150,84.0,High Risk,Yes,Medium Value,Medium CLTV
0363-QJVFX,Saudi Arabia,Dammam,Enterprise,Male,No,No,No,32,Month-to-month,108.15,3432.9,2541.0,3,15,,30,7.0,220,84.0,Medium Risk,Yes,Low Value,Low CLTV
4080-OGPJL,UAE,Sharjah,SME,Female,No,No,No,8,Month-to-month,71.15,563.65,2662.0,3,15,,20,7.0,60,84.0,Medium Risk,Yes,Low Value,Low CLTV
2817-NTQDO,Saudi Arabia,Riyadh,Individual,Male,No,No,No,13,Month-to-month,45.55,597.0,4856.0,3,15,,20,7.0,90,84.0,High Risk,Yes,Medium Value,Medium CLTV
0719-SYFRB,Saudi Arabia,Riyadh,SME,Female,No,No,No,12,Month-to-month,61.65,713.75,5670.0,3,15,,20,7.0,60,84.0,Medium Risk,Yes,High Value,High CLTV
2189-UXTKY,Oman,Sohar,SME,Female,No,Yes,No,22,Month-to-month,79.2,1742.75,3410.0,3,15,,20,7.0,90,84.0,High Risk,Yes,Low Value,Low CLTV
9206-GVPEQ,Oman,Muscat,SME,Male,No,Yes,No,13,Month-to-month,54.45,706.85,5212.0,3,15,,20,7.0,90,84.0,High Risk,Yes,High Value,High CLTV
4323-SADQS,Oman,Muscat,Individual,Male,No,Yes,Yes,7,Month-to-month,34.5,279.25,3520.0,3,15,,20,7.0,60,84.0,High Risk,Yes,Medium Value,Medium CLTV
4139-SUGLD,UAE,Sharjah,Individual,Male,No,Yes,Yes,31,Month-to-month,35.4,1077.5,2067.0,3,15,,20,7.0,60,84.0,High Risk,Yes,Low Value,Low CLTV
0516-WJVXC,UAE,Abu Dhabi,SME,Female,No,No,No,5,Month-to-month,54.2,308.25,5476.0,3,15,,20,7.0,60,84.0,High Risk,Yes,High Value,High CLTV
8722-NGNBH,Saudi Arabia,Jeddah,Individual,Male,No,No,No,5,Month-to-month,40.0,223.45,3125.0,3,15,,20,7.0,60,84.0,High Risk,Yes,Low Value,Low CLTV
